Pais,Ano,ENTR,TUTT,EMPE,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
AUT,2010,-0.4233931883925983,-0.3264868628596717,-0.438058706499862,0,0,0,-0.3204378651705679,-0.6314656328931091
AUT,2011,-0.4126221974177511,-0.32274024568093945,-0.41598356552966304,0,0,0,-0.3188045207274629,-0.5172478900533382
AUT,2012,-0.4035608875500224,-0.32104780662189675,-0.401057254233533,0,0,0,-0.31858222740365016,-0.4527812120978342
AUT,2013,-0.39449957768229377,-0.3189228035394107,-0.38995848754110685,0,0,0,-0.31770924763789904,-0.4186507701410061
AUT,2014,-0.38387106013303973,-0.3167447535510957,-0.3723395431226038,0,0,0,-0.31739527874754114,-0.3485144485629921
AUT,2015,-0.37956836268012456,-0.31633561093110263,-0.3684953086441745,0,0,0,-0.3173828597270115,-0.34382077304884345
AUT,2016,-0.379055458347989,-0.31405231377087905,-0.3490349147142965,0,0,0,-0.31717008749301023,-0.21245856299854549
AUT,2017,-0.35386615670310806,-0.31169198410450505,-0.32729913453018167,0,0,0,-0.31709050774069186,-0.1994592970741288
AUT,2018,-0.3513871190977861,-0.3084998243399244,-0.31706267803190397,0,0,0,-0.31567844834837006,-0.14603962868377524
AUT,2019,-0.3190456514881257,-0.3035015112580132,-0.3067872784926001,0,0,0,-0.31318631739416253,-0.2410457069853502
AUT,2020,-0.300951526437787,-0.3037317614478301,-0.29221145456570463,0,0,0,-0.3144133070242588,-0.23766119609163666
AUT,2021,-0.13864580000199342,-0.3007594125087354,-0.2599109836803782,0,0,0,-0.3148364377336764,-0.6430946132572133
AUT,2022,-0.12813126119321394,-0.29698099363969244,-0.2309095446991163,0,0,0,-0.3145724631170292,-0.5475351610801138
BEL,2010,-0.2651906966138894,-0.31117053978505754,-0.3934021650261253,0,0,0,-0.31086712668128774,-0.9322180373062312
BEL,2011,-0.21244703445928018,-0.31053594368198084,-0.4058695014460386,0,0,0,-0.30887063854636276,-1.1297791891863298
BEL,2012,-0.19267172298694157,-0.3082918664709302,-0.3852797593264049,0,0,0,-0.30937219704958546,-1.075245338278176
BEL,2013,-0.127247925954536,-0.3082515164058021,-0.382002980588641,0,0,0,-0.3097024431023426,-1.1946864987318861
BEL,2014,-0.13679364546928158,-0.3056188952716396,-0.37972203104282914,0,0,0,-0.3078312986227493,-1.1668074633180139
BEL,2015,-0.11459628576185826,-0.3050308598770277,-0.379054436053811,0,0,0,-0.307435751151285,-1.2054206868996158
BEL,2016,-0.07045801851307941,-0.3017120065705802,-0.3608012763957407,0,0,0,-0.30692498364037674,-1.2086070308915118
BEL,2017,-0.010932621300233059,-0.29692814306610804,-0.34032280010761007,0,0,0,-0.3056673808027635,-1.2273492951904619
BEL,2018,0.03163843826702039,-0.2923705762400435,-0.29979422098263536,0,0,0,-0.30668853381850936,-1.1500235694351004
BEL,2019,0.1417703962505777,-0.28577435049711675,-0.2770681748981437,0,0,0,-0.30476496519168894,-1.2319464394132364
BEL,2020,0.1381230765553913,-0.28460053718426304,-0.2654130790482025,0,0,0,-0.30513874134117397,-1.1917506882179663
BEL,2021,0.23380822918379632,-0.27647834869243443,-0.22889563314891165,0,0,0,-0.30382614457892915,-1.2063116185733556
BEL,2022,0.3433987881500994,-0.26395279926383874,-0.2038663843523075,0,0,0,-0.29955425331298213,-1.261855479598792
BGR,2010,-0.6410355933287977,-0.34458201220350276,-0.5129183579350932,0,0,0,-0.3373872362393553,0.574099700457425
BGR,2011,-0.6247651281260522,-0.3441562282299607,-0.5020309963225228,0,0,0,-0.33705093508331135,0.46456175290422397
BGR,2012,-0.6096629450131711,-0.3435645322723151,-0.48410607086738644,0,0,0,-0.33672006646706076,0.5034669904706008
BGR,2013,-0.5917112933884258,-0.34326318229761466,-0.46238141726642196,0,0,0,-0.3368630199344047,0.5479513669845769
BGR,2014,-0.5727908224696464,-0.3425809124200235,-0.4446845867658668,0,0,0,-0.3365064087421694,0.5190617453183864
BGR,2015,-0.5490832444509349,-0.3412668790917027,-0.4106428056175181,0,0,0,-0.33595552256558286,0.6287460265060593
BGR,2016,-0.5214433998858508,-0.34039866337582764,-0.37491534712189867,0,0,0,-0.33591837022069004,0.6903830553574899
BGR,2017,-0.4968524866284614,-0.33916673924911567,-0.3418860850402275,0,0,0,-0.3355854226551234,0.7474338884756311
BGR,2018,-0.4777610475989702,-0.3377299663639457,-0.31136586745894934,0,0,0,-0.335137679426474,0.8297274382731055
BGR,2019,-0.45567766663202147,-0.33564647385959656,-0.2692962565676579,0,0,0,-0.3345720416646324,0.9704472122355956
BGR,2020,-0.44587549495120804,-0.3341027599202448,-0.24284836841939023,0,0,0,-0.33414538099834407,1.091037876204444
BGR,2021,-0.43613031264063196,-0.33100345876294,-0.19486497858371327,0,0,0,-0.333345460642959,1.3777171898543792
BGR,2022,-0.4089748777225647,-0.32719665524574826,-0.1345533346175018,0,0,0,-0.3325819411443258,1.554121454497883
