Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
AUT,2010,12849.0,7355.60009765625,41793.0,0,0.17600076801512812,3.252626663553584
AUT,2011,13227.0,8683.39990234375,45761.0,0,0.18975546649644348,3.459665835034399
AUT,2012,13545.0,9283.19970703125,48444.0,0,0.1916274400757834,3.5765227021040973
AUT,2013,13863.0,10036.30004882813,50439.0,0,0.19897896565808462,3.6383899588833586
AUT,2014,14236.0,10808.2001953125,53606.0,0,0.20162295629803567,3.7655240236021355
AUT,2015,14387.0,10953.2001953125,54297.0,0,0.201727539188399,3.7740321123236256
AUT,2016,14405.0,11762.39990234375,57795.0,0,0.2035193338929622,4.012148559527942
AUT,2017,15289.0,12598.89990234375,61702.0,0,0.20418948984382598,4.035711949767807
AUT,2018,15376.0,13730.2001953125,63542.0,0,0.2160807056012165,4.132544224765869
AUT,2019,16511.0,15501.6005859375,65389.0,0,0.2370674056177262,3.9603294773181514
AUT,2020,17146.0,15420.0,68009.0,0,0.22673469687835435,3.9664644815117227
AUT,2021,22842.0,16473.3994140625,73815.0,0,0.22317143418089141,3.2315471499868664
AUT,2022,23211.0,17812.4697265625,79028.0,0,0.22539441370859062,3.4047649821205463
BEL,2010,18401.0,12783.699584960938,49820.0,0,0.25659774357609266,2.707461551002663
BEL,2011,20252.0,13008.600219726562,47579.0,0,0.27341054288082056,2.34934821252222
BEL,2012,20946.0,13803.900390625,51280.0,0,0.2691868250901911,2.4482001336770742
BEL,2013,23242.0,13818.20043945313,51869.0,0,0.2664057614269242,2.231692625419499
BEL,2014,22907.0,14751.20043945313,52279.0,0,0.2821630184099376,2.282228139869909
BEL,2015,23686.0,14959.59997558594,52399.0,0,0.2854939975111345,2.212235075572068
BEL,2016,25235.0,16135.80041503906,55680.0,0,0.2897952660746958,2.206459282742223
BEL,2017,27324.0,17831.19995117188,59361.0,0,0.3003857743496888,2.172485726833553
BEL,2018,28818.0,19446.40002441406,66646.0,0,0.29178645416700266,2.3126518148379485
BEL,2019,32683.0,21784.10009765625,70731.0,0,0.30798518468078,2.1641526175687664
BEL,2020,32555.0,22200.09912109375,72826.0,0,0.3048375459464168,2.2370142835201965
BEL,2021,35913.0,25078.59985351563,79390.0,0,0.31589116832744213,2.210620109709576
BEL,2022,39759.0,29517.65014648438,83889.0,0,0.3518655621891354,2.109937372670339
BGR,2010,5211.0,942.6855621337891,28337.0,0,0.033266949999427926,5.4379197850700445
BGR,2011,5782.0,1093.583251953125,30294.0,0,0.03609900481788886,5.239363542026981
BGR,2012,6312.0,1303.280090332034,33516.0,0,0.03888531120456003,5.309885931558935
BGR,2013,6942.0,1410.07841491699,37421.0,0,0.03768147336834905,5.390521463555172
BGR,2014,7606.0,1651.874618530278,40602.0,0,0.040684562793219005,5.338154088877202
BGR,2015,8438.0,2117.567565917971,46721.0,0,0.045323678130133584,5.536975586631903
BGR,2016,9408.0,2425.262908935542,53143.0,0,0.04563654496237589,5.648703231292517
BGR,2017,10271.0,2861.8563842773438,59080.0,0,0.048440358569352464,5.75211761269594
BGR,2018,10941.0,3371.048187255859,64566.0,0,0.052210887886129834,5.901288730463395
BGR,2019,11716.0,4109.437194824219,72128.0,0,0.05697422907642273,6.156367360874018
BGR,2020,12060.0,4656.528869628906,76882.0,0,0.06056721819969442,6.374958540630183
